day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-07-18,RS,0.9835794805201715,0.001569471686067395,0.00018535105127827733,0.0013298490252477845,0.013340242456589295
2020-07-19,RS,0.9829944438312895,0.0016225529956499726,0.00019167365339369945,0.0013752374949728215,0.013820486764048047
2020-07-20,RS,0.982389848894354,0.0016772365388938542,0.00019819103346917748,0.0014220260868168493,0.014317092185819998
2020-07-21,RS,0.9817651177738431,0.0017335577424868326,0.00020490777456931558,0.00147024787665674,0.014830563571797626
2020-07-22,RS,0.9811196628917797,0.0017915513118098607,0.0002118284177167441,0.0015199356593878339,0.015361416458659363
2020-07-23,RS,0.9804528853641844,0.0018512515988407445,0.0002189574944665302,0.0015711221778555789,0.015910178104005978
2020-07-24,RS,0.9797641769708597,0.0019126921144265712,0.00022629947613807887,0.0016238397564245215,0.01647738642150412
2020-07-25,RS,0.9790529228477016,0.001975904860720904,0.00023385870650144237,0.001678119817553127,0.017063588506875737
2020-07-26,RS,0.9783184911034112,0.002040922624662598,0.00024163963473812313,0.0017339945580510732,0.017669346818489647
2020-07-27,RS,0.9775602416475588,0.002107776920938323,0.00024964660722297987,0.0017914954522187754,0.018295234111413674
2020-07-28,RS,0.9767775310197845,0.0021764977835665436,0.0002578837265927643,0.0018506522443176318,0.018941829965091174
2020-07-29,RS,0.9759697020629677,0.0022471146293952743,0.00026635512029615945,0.0019114948727115373,0.019609728053981847
2020-07-30,RS,0.9751360887780122,0.0023196557380307354,0.00027506480703556207,0.0019740525136229506,0.02029953290265114
2020-07-31,RS,0.9742760189037474,0.0023941477473314594,0.0002840166522572908,0.0020383532607299694,0.0210118581752865
2020-08-01,RS,0.973388816233764,0.00247061500357006,0.0002932143560333582,0.002104424034997287,0.02174732511098781
2020-08-02,RS,0.9724737928996946,0.0025490812538725895,0.0003026614922816719,0.0021722908773821005,0.022506568216121646
2020-08-03,RS,0.9715302562217086,0.002629568075587097,0.0003123614527932492,0.002241978539147933,0.023290230450115766
2020-08-04,RS,0.9705575142334433,0.0027120940120044096,0.00032231734211320834,0.002313509740938389,0.02409895941085337
2020-08-05,RS,0.9695548669835375,0.0027966759306119987,0.00033253210141197676,0.002386906047606921,0.02493341367618423
2020-08-06,RS,0.9685216096439594,0.002883328453014957,0.00034300845405031965,0.0024621874823214634,0.02579426070600661
