day,state,suscetivel,exposto,infectadoA,infectadoS,recuperado
2020-08-04,SC,0.909204223644522,0.006985661993763104,0.005079012649823906,0.0008511090966843593,0.07788381794015899
2020-08-05,SC,0.9072206269124706,0.007060830388285203,0.005138872882639004,0.0008611027729884944,0.079722392368569
2020-08-06,SC,0.9052184101840445,0.007134408158952483,0.005197754055517087,0.0008709310080107953,0.08158232191842746
2020-08-07,SC,0.903198108192591,0.0072063047131442634,0.005255588381036899,0.0008805824573298333,0.08346324158085028
2020-08-08,SC,0.901160278816477,0.007276431115358461,0.005312307329789871,0.0008900456419371378,0.08536476242138986
2020-08-09,SC,0.8991055040218672,0.007344698457208302,0.005367843266721838,0.0008993092483380342,0.08728647033081693
2020-08-10,SC,0.8970343885657749,0.007411019100437235,0.005422128791270418,0.0009083620038606262,0.0892279268636091
2020-08-11,SC,0.8949475591502251,0.007475306943289347,0.005475096844354131,0.0009171926938596992,0.09118866969322403
2020-08-12,SC,0.8928456643827045,0.007537477398750318,0.005526681099490904,0.0009257902312125129,0.09316821221279396
2020-08-13,SC,0.8907293734802277,0.0075974476526570675,0.005576816090341456,0.0009341436769252732,0.09516604442480076
2020-08-14,SC,0.8885993768168319,0.00765513724410706,0.0056254376403151365,0.000942242312409649,0.0971816313112885
2020-08-15,SC,0.8864563811719636,0.007710467258205118,0.00567248231388372,0.0009500755461069049,0.09921441903479293
2020-08-16,SC,0.884301115306851,0.007763361001198075,0.005717887733435474,0.0009576329675191458,0.10126382831594866
2020-08-17,SC,0.8821343207665817,0.007813745716805239,0.005761593598877794,0.0009649045172156258,0.10332926072547191
2020-08-18,SC,0.8799567607718193,0.007861551325100214,0.0058035409399100416,0.000971880362542055,0.1054100919255807
2020-08-19,SC,0.877769220119142,0.007906710364794223,0.005843672113818766,0.0009785508970791914,0.10750567183011807
2020-08-20,SC,0.875572486270971,0.007949159463567716,0.005881932217161952,0.000984906972349763,0.10961534040090187
2020-08-21,SC,0.8733673624272786,0.00798883840332378,0.005918268121959232,0.0009909397398473131,0.11173841663254339
2020-08-22,SC,0.871154669754464,0.008025689978932795,0.005952628367298799,0.0009966406339350087,0.11387419659032179
2020-08-23,SC,0.8689352343397859,0.008059661325313562,0.005984965337722942,0.0010020017433431353,0.11602196257878673
2020-08-24,SC,0.8667098940376688,0.008090703158048515,0.006015233925801692,0.0010070155820681881,0.11818097862136516
2020-08-25,SC,0.8644795004196542,0.008118769559878449,0.00604339112324333,0.0010116750193767746,0.12035048920279959
2020-08-26,SC,0.862244905679322,0.008143819513739967,0.006069397769149747,0.0010159735806311225,0.12252972878210949
2020-08-27,SC,0.8600069693366932,0.008165816110476593,0.0060932177294149474,0.001019905305905082,0.12471791684246257
2020-08-28,SC,0.8577665615801965,0.008184726190527663,0.006114817443889539,0.0010234646713745952,0.126914255438964
2020-08-29,SC,0.8555245508010096,0.008200523624717912,0.006134165290895862,0.001026646450752034,0.12911793915757683
2020-08-30,SC,0.853281802788924,0.008213189404043007,0.006151231623922157,0.0010294457202211771,0.13132815578784196
2020-08-31,SC,0.8510391873398602,0.008222707946960882,0.006165990673144636,0.0010318582162048401,0.13354408114878177
2020-09-01,SC,0.8487975753350501,0.008229067636699127,0.00617842062601876,0.0010338803491169346,0.1357648813780673
2020-09-02,SC,0.8465578360179201,0.008232257672383263,0.006188506765214266,0.0010355097874145858,0.13798971508201996
2020-09-03,SC,0.8443208361110844,0.008232272188725747,0.00619623779356217,0.001036744772788804,0.14021773445879113
2020-09-04,SC,0.8420874374914178,0.00822911084335041,0.006201603513633797,0.0010375837045484304,0.14244808977200182
2020-09-05,SC,0.839858487193816,0.008222788262729814,0.006204597004316281,0.0010380254557297987,0.14467992740836044
2020-09-06,SC,0.8376348349736948,0.008213315312149637,0.006205210180778683,0.001038068718584661,0.1469123961397445
2020-09-07,SC,0.8354173168173425,0.008200710039639857,0.006203444569422506,0.0010377138354841324,0.14914464006306324
2020-09-08,SC,0.8332067626092893,0.008184989630438896,0.006199307910403916,0.0010369622548496368,0.15137580291997058
2020-09-09,SC,0.8310039889100933,0.008166180425790624,0.006192807861882998,0.0010358153439143035,0.15360503278327098
