day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-05-31,PI,0.9903522786404368,0.001120880177570127,0.00012973311910948856,0.0009294823811367828,0.007482901127048559
2020-06-01,PI,0.9899242159273112,0.001167581559685541,0.00013516606765166155,0.0009684193989882518,0.007819892491665073
2020-06-02,PI,0.9894784377720223,0.0012161256650852468,0.00014081548866834158,0.001008909064247513,0.008170987455278413
2020-06-03,PI,0.9890142573974263,0.0012665750431169259,0.0001466891780547708,0.0010510072736921667,0.008536746553011577
2020-06-04,PI,0.9885309647744284,0.001318993733201416,0.000152795115977518,0.00109477127539984,0.008917750546294618
2020-06-05,PI,0.9880278267248576,0.0013734482994429969,0.00015914131782507674,0.001140258713667842,0.009314600389508246
2020-06-06,PI,0.9875040856208401,0.0014300067457627406,0.00016573597256775007,0.0011875285017077495,0.009727918604423352
2020-06-07,PI,0.9869589583258409,0.0014887387738373998,0.00017258742285318235,0.0012366407069328929,0.010158350215837397
2020-06-08,PI,0.9863916396464731,0.0015497140481117017,0.00017970428271021568,0.0012876572523856744,0.010606560215621107
2020-06-09,PI,0.9858012977577126,0.0016130032266323997,0.0001870953839011947,0.001340641610193816,0.01107323746686186
2020-06-10,PI,0.9851870796359521,0.001678676520620204,0.00019476982608442278,0.001395659057467575,0.011559090405177618
2020-06-11,PI,0.9845481054980331,0.0017468061616433806,0.0002027367359575115,0.0014527752045304539,0.012064851845137592
2020-06-12,PI,0.9838834759653377,0.0018174659956805529,0.0002110052227665246,0.0015120556645329595,0.012591272596984351
2020-06-13,PI,0.9831922408779046,0.0018907332922351084,0.0002195843527874333,0.0015735660399841568,0.013139150882390807
2020-06-14,PI,0.9824734615018208,0.0019666841471454454,0.00022848322575303668,0.0016373720767813853,0.013709274493801476
2020-06-15,PI,0.981726151980598,0.002045391665047703,0.00023771158029507167,0.0017035437493933385,0.014302476469967927
2020-06-16,PI,0.9809493079232323,0.0021269282868785354,0.0002472792573241126,0.0017721517256489693,0.014919608252218133
2020-06-17,PI,0.9801418980659683,0.002211369661174373,0.0002571957453057572,0.0018432645425868763,0.015561547430266711
2020-06-18,PI,0.9793028675289397,0.002298790090478945,0.00026747066468269805,0.0019169516154788765,0.016229195545721883
2020-06-19,PI,0.9784311371668232,0.0023892631499268665,0.00027811363501007547,0.001993282385129034,0.01692347910841292
2020-06-20,PI,0.9775256055369047,0.0024828616274154493,0.00028913423033808685,0.0020723260140868994,0.017645348036556974
2020-06-21,PI,0.9765851458147368,0.0025796566453676326,0.0003005419286493814,0.002154151017892633,0.0183957800386556
