date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,exposto,infectado,recuperado
2020-06-04,SC,499,156,10533,9707.990491473105,680640.6891597888,6907.658678870191,7153248.10707806,1838.150654788482,1666.8629480270533,8041.127543446052
2020-06-05,SC,313,159,10846,10094.466737188477,564802.2451121336,5621.254047529546,7152793.849607592,1906.2292499068194,1728.6976040622087,8365.769133126269
2020-06-06,SC,439,166,11285,10495.27063304341,623672.4730336559,6087.50128797956,7152322.772757506,1976.8115663534936,1792.8172554840007,8702.45337755941
2020-06-07,SC,280,171,11565,10910.908339023565,427835.9009589121,4095.688041409043,7151834.249608847,2050.018801611878,1859.2775056325102,9051.630833391055
2020-06-08,SC,177,177,11742,11341.935131714183,160051.89883654832,1502.789343344306,7151327.654150709,2125.9221499854275,1928.1835535353014,9413.75157817888
2020-06-09,SC,450,179,12192,11788.921814959842,162472.02325526797,1496.3153328714889,7150802.328294328,2204.609374548411,1999.6329602166318,9789.28885474321
2020-06-10,SC,402,184,12594,12252.450642509115,116655.96360243642,1053.8474342477846,7150257.581561086,2286.189194804817,2073.71135072688,10178.739291782234
2020-06-11,SC,359,186,12953,12733.12955010766,48343.01473585991,428.39964097530014,7149692.698033047,2370.7701080671036,2150.5115451007273,10582.618005006932
2020-06-12,SC,212,191,13165,13231.589764368015,4434.196718587705,38.54717290279816,7149106.944141249,2458.4549885166257,2230.136781543992,11001.452982824023
2020-06-13,SC,131,193,13296,13748.484494163762,204742.21745863563,1746.080228961613,7148499.5571495285,2549.3539154497266,2312.6911129126734,11435.79338125109
2020-06-14,SC,64,195,13360,14284.487760733498,854677.6197460381,7150.802694613261,7147869.744708914,2643.5857884414136,2398.2779066706303,11886.209854062869
2020-06-15,SC,600,199,13960,14840.29991560178,774927.9414085001,6360.999328075529,7147216.687107433,2741.2705613611474,2487.006930603887,12353.292984997892
2020-06-16,SC,442,212,14402,15416.647050005478,1029508.6360848198,8291.26783328639,7146539.535564837,2842.5315385868494,2578.992519964578,12837.6545300409
2020-06-17,SC,613,216,15015,16014.28245778807,998565.4304429643,7890.58542109493,7145837.40895492,2947.4971916633885,2674.3526457415105,13339.92981204656
2020-06-18,SC,558,222,15573,16633.981883275534,1125682.556638898,8727.799689916645,7145109.399669856,3056.300042883811,2773.208416740303,13860.773466535229
2020-06-19,SC,759,234,16332,17276.55180282647,892178.1082227357,6787.509659716408,7144354.564329287,3169.0776817485694,2875.6855690480807,14400.866233778388
2020-06-20,SC,776,237,17108,17942.831657527517,696943.8964101409,5202.837070359433,7143571.921536299,3285.972778189177,2981.915022532907,14960.91663499461
2020-06-21,SC,474,246,17582,18633.677796236694,1106026.1870972696,8102.228103406372,7142760.470256833,3407.1307462615932,3092.0302433208117,15541.647552915883
2020-06-22,SC,355,256,17937,19349.994247488972,1996552.7434369267,14352.552549277785,7141919.154067572,3532.7047512909758,3206.171829423002,16143.82241806597
2020-06-23,SC,1307,263,19244,20092.712566329716,720313.020245972,5081.49113556379,7141046.884579559,3662.852421964389,3324.484428766562,16768.228137563154
2020-06-24,SC,1677,279,20921,20862.785686416326,3388.906306018341,23.461890603340677,7140142.548572095,3797.7348586956796,3447.115931756338,17415.66975465999
2020-06-25,SC,1030,289,21951,21661.20306606794,83982.2629164221,570.605904409461,7139204.990403501,3937.519090119826,3574.219710745468,18086.983355322474
2020-06-26,SC,NA,NA,NA,22488.99405928543,NA,NA,7138233.008309777,4082.3784068706955,3705.9550162732644,18783.039043012166
2020-06-27,SC,NA,NA,NA,23347.229026483717,NA,NA,7137225.35321351,4232.492443142126,3842.4870939865436,19504.741932497174
2020-06-28,SC,NA,NA,NA,24237.014822334375,NA,NA,7136180.733562468,4388.04684536017,3983.986709666984,20253.02811266739
2020-06-29,SC,NA,NA,NA,25159.496715289715,NA,NA,7135097.8132723,4549.233412046654,4130.630350912446,21028.86636437727
2020-06-30,SC,NA,NA,NA,26115.86015484654,NA,NA,7133975.210212638,4716.249843177115,4282.600281052505,21833.259873794035
2020-07-01,SC,NA,NA,NA,27107.3302389288,NA,NA,7132811.496662261,4889.29981680827,4440.084523277632,22667.245715651166
2020-07-02,SC,NA,NA,NA,28135.170161800383,NA,NA,7131605.200635484,5068.5932123763505,4603.276814390448,23531.893347409936
2020-07-03,SC,NA,NA,NA,29200.682638802708,NA,NA,7130354.804499254,5254.3460707204085,4772.3767067887175,24428.30593201399
2020-07-04,SC,NA,NA,NA,30305.231681056877,NA,NA,7129058.720417002,5446.783396548548,4947.5923586111885,25357.639322445688
2020-07-05,SC,NA,NA,NA,31450.22671074884,NA,NA,7127715.3082624385,5646.137114029853,5129.138498317278,26321.08821243156
2020-03-12,PE,2,0,2,2,0,0,9557069,0,2,0
2020-03-13,PE,0,0,2,2.1238581163761827,0.01534083299225602,0.00867967156315983,9557067.625226391,1.2509214336896275,1.8001032814965765,0.323754834879606
2020-03-14,PE,5,0,7,2.4652962618175476,20.56353799308591,11.046575186413868,9557066.316579178,2.218147981882571,1.8333464578275245,0.6319498039900231
2020-03-15,PE,1,0,8,2.984246877142752,25.157779389452237,12.603732697240293,9557064.925388195,3.0904173463508187,2.024653126270926,0.9595937508718259
2020-03-16,PE,0,0,8,3.6726159952655815,18.726252324431293,8.663050085280451,9557063.344665432,3.9828126764088876,2.3407345750547504,1.3318814202108311
2020-03-17,PE,10,0,18,4.542113587099671,181.1147067025273,76.93359123748209,9557061.490102813,4.96793405845515,2.7734458910014506,1.7686676960982206
2020-03-18,PE,1,0,19,5.616563457213327,179.11637369479766,69.63363185947694,9557059.275891513,6.107769198509527,3.326401859682973,2.290161597530354
2020-03-19,PE,9,0,28,6.9350357819075015,443.73271750951733,157.52409991621795,9557056.603108864,7.4621743708546555,4.015374465680915,2.9196613162265868
2020-03-20,PE,3,0,31,8.540122450533548,504.4460995370271,163.31940679526826,9557053.37693686,9.083379604486012,4.860623814856286,3.6794986356772625
2020-03-21,PE,2,0,33,10.460064343482983,508.0486993999272,150.07619698250457,9557049.533478957,11.007043180134012,5.875341752324132,4.584722591158853
2020-03-22,PE,4,0,37,12.871905232085295,582.1649571294729,156.30684725127938,9557044.709838636,13.419033638627846,7.151100600655094,5.720804631430201
2020-03-23,PE,5,0,42,15.74236740564494,689.4632694601372,168.50108450003663,9557038.974892814,16.28374879674656,8.670844855247159,7.0715225503977805
2020-03-24,PE,0,0,42,19.22444601113048,518.7258594999104,115.34521472371398,9557032.020738456,19.756110105017417,10.515050103754113,8.709395907376365
2020-03-25,PE,4,1,46,23.44639503532985,508.66509690239405,102.87847690155648,9557023.588448195,23.96680233033674,12.750985956861292,10.69540907846856
2020-03-26,PE,2,3,48,28.56116617236176,377.8682605785328,69.49917240936608,9557013.370917853,29.06999150550143,15.45927235853777,13.101893813823988
2020-03-27,PE,9,4,57,34.80183908371204,492.75834806541434,82.35335990589152,9557000.904399784,35.296366195222234,18.763762206663806,16.038076877048237
2020-03-28,PE,11,5,68,42.360781418862466,657.3695294513482,99.82998816091155,9556985.804734925,42.837734828593995,22.766342279218726,19.59443913964374
2020-03-29,PE,5,5,73,51.50987182311425,461.8256090589787,63.73199781405429,9556967.530495347,51.96367070510884,27.611367264945653,23.898504558168597
2020-03-30,PE,5,6,78,62.66752562164832,235.08477056281063,29.462222796646163,9556945.250545427,63.086931050369685,33.52149087869332,29.146034742955006
2020-03-31,PE,9,6,87,76.16350780190943,117.42956315927775,13.368154747038618,9556918.309014095,76.53365106866343,40.671998250773306,35.491509551136126
2020-04-01,PE,8,8,95,92.48103404155074,6.345189499826186,0.6562704400014093,9556885.743483838,92.78307528093922,49.31941870774299,43.16161533380776
2020-04-02,PE,11,9,106,112.30697923107373,39.77798702119532,3.736925768984962,9556846.184760954,112.51758320236932,59.828125403392015,52.47885382768171
2020-04-03,PE,30,10,136,136.3596136256881,0.1293219597805396,0.011034248163339148,9556798.196861573,136.45495198844068,72.57815000786148,63.78146361782663
2020-04-04,PE,40,14,176,165.5723475045304,108.73593656627341,8.425033692835868,9556739.907254267,165.53438546039288,88.06182862146032,77.51051888307006
2020-04-05,PE,25,21,201,200.9466046699731,0.0028510612686802527,2.0062648873703107e-4,9556669.311588868,200.758898612895,106.80845370919084,94.13815096078228
2020-04-06,PE,22,30,223,243.86169430084354,435.21028910184776,27.812416799830945,9556583.653261252,243.50590840538362,129.54798564757297,114.31370865327057
2020-04-07,PE,129,34,352,295.93971420526316,3142.7556433875734,182.37968942714798,9556479.699551044,295.3861807553026,157.140989917055,138.79872428820815
2020-04-08,PE,49,46,401,359.07213592102744,1757.9457862247975,92.64259684233387,9556353.68513682,358.2737326532988,190.59191600574448,168.48021991528293
2020-04-09,PE,154,56,555,435.71305124855746,14229.376142429279,680.9069612606712,9556200.716159139,434.60854868589314,231.2019000648114,204.51115118374605
2020-04-10,PE,129,65,684,528.5686291928794,24158.91103098063,1049.8233530748162,9556015.39274229,527.0845748581526,280.4048991522318,248.16373004064764
2020-04-11,PE,132,72,816,641.193185765258,30557.42230289959,1205.8238503865962,9555790.612958696,639.2497372023304,340.08186586463853,301.11131990061955
2020-04-12,PE,144,85,960,777.8146322076448,33191.508237635746,1189.3507101533692,9555517.938972516,775.3143342594963,412.47240591337123,365.3422262942736
2020-04-13,PE,194,102,1154,943.5315982151767,44296.94814985781,1441.3370842250367,9555187.200248426,940.3507225902031,500.278290863319,443.2533073518577
2020-04-14,PE,130,115,1284,1144.43669728446,19477.91546486945,575.5153747894086,9554786.244413275,1140.4192007273384,606.7279004996134,537.7087967848466
